link,azimuth_bs_imt,elevation_bs_imt,azimuth_ep_fs,elevation_ep_fs,path_loss_db
EP03-Cell0019,-103.9,-0.4,7.3,0.4,224.4
EP03-Cell0020,-223.9,-0.4,-112.7,0.4,224.4
EP03-Cell0021,-343.9,-0.4,-232.7,0.4,224.4
EP03-Cell0022,-112.8,-0.3,-1.6,0.3,240.1
EP03-Cell0023,-232.8,-0.3,-121.6,0.3,240.1
EP03-Cell0024,-352.8,-0.3,-241.6,0.3,240.1
EP03-Cell0025,-123.6,-0.8,-12.4,0.8,236.1
EP03-Cell0026,-243.6,-0.8,-132.4,0.8,236.1
EP03-Cell0027,-363.6,-0.8,-252.4,0.8,236.1
EP03-Cell0028,-124.9,-0.2,-13.7,0.2,227.4
EP03-Cell0029,-244.9,-0.2,-133.7,0.2,227.4
EP03-Cell0030,-364.9,-0.2,-253.7,0.2,227.4
EP03-Cell0031,-108.4,-0.6,2.8,0.6,197.8
EP03-Cell0032,-228.4,-0.6,-117.2,0.6,197.8
EP03-Cell0033,-348.4,-0.6,-237.2,0.6,197.8
EP03-Cell0034,-96.2,0,15,0,237.1
EP03-Cell0035,-216.2,0,-105,0,237.1
EP03-Cell0036,-336.2,0,-225,0,237.1
EP03-Cell0037,-101.1,-0.1,10.1,0.1,238
EP03-Cell0038,-221.1,-0.1,-109.9,0.1,238
EP03-Cell0039,-341.1,-0.1,-229.9,0.1,238
EP03-Cell0040,-117.9,-0.3,-6.7,0.3,251.5
EP03-Cell0041,-237.9,-0.3,-126.7,0.3,251.5
EP03-Cell0042,-357.9,-0.3,-246.7,0.3,251.5
EP03-Cell0043,-124.1,-0.7,-12.9,0.7,199.9
EP03-Cell0044,-244.1,-0.7,-132.9,0.7,199.9
EP03-Cell0045,-364.1,-0.7,-252.9,0.7,199.9
EP03-Cell0046,-117.2,-0.5,-6,0.5,233.1
EP03-Cell0047,-237.2,-0.5,-126,0.5,233.1
EP03-Cell0048,-357.2,-0.5,-246,0.5,233.1
EP03-Cell0049,-101.6,-0.1,9.6,0.1,238.6
EP03-Cell0050,-221.6,-0.1,-110.4,0.1,238.6
EP03-Cell0051,-341.6,-0.1,-230.4,0.1,238.6
EP03-Cell0052,-98.9,0,12.3,0,238.6
EP03-Cell0053,-218.9,0,-107.7,0,238.6
EP03-Cell0054,-338.9,0,-227.7,0,238.6
EP03-Cell0055,-107.1,-0.5,4.1,0.5,230.2
EP03-Cell0056,-227.1,-0.5,-115.9,0.5,230.2
EP03-Cell0057,-347.1,-0.5,-235.9,0.5,230.2
EP04-Cell0001,-47.1,-1,0,1,242.4
EP04-Cell0002,-167.1,-1,-120,1,242.4
EP04-Cell0003,-287.1,-1,-240,1,242.4
EP04-Cell0004,-55,-1,-7.9,1,253.1
EP04-Cell0005,-175,-1,-127.9,1,253.1
EP04-Cell0006,-295,-1,-247.9,1,253.1
EP04-Cell0007,-38.4,-0.7,8.7,0.7,242.9
EP04-Cell0008,-158.4,-0.7,-111.3,0.7,242.9
EP04-Cell0009,-278.4,-0.7,-231.3,0.7,242.9
EP04-Cell0010,-54.3,-1.5,-7.2,1.5,237.4
EP04-Cell0011,-174.3,-1.5,-127.2,1.5,237.4
EP04-Cell0012,-294.3,-1.5,-247.2,1.5,237.4
EP04-Cell0013,-44.9,-1.5,2.2,1.5,215
EP04-Cell0014,-164.9,-1.5,-117.8,1.5,215
EP04-Cell0015,-284.9,-1.5,-237.8,1.5,215
EP04-Cell0016,-48.7,-0.7,-1.6,0.7,250
EP04-Cell0017,-168.7,-0.7,-121.6,0.7,250
EP04-Cell0018,-288.7,-0.7,-241.6,0.7,250
EP04-Cell0019,-41.2,-0.8,5.9,0.8,239
EP04-Cell0020,-161.2,-0.8,-114.1,0.8,239
EP04-Cell0021,-281.2,-0.8,-234.1,0.8,239
EP04-Cell0022,-62,-0.9,-14.9,0.9,250.3
EP04-Cell0023,-182,-0.9,-134.9,0.9,250.3
EP04-Cell0024,-302,-0.9,-254.9,0.9,250.3
EP04-Cell0025,-63.1,-1.8,-16,1.8,231.6
EP04-Cell0026,-183.1,-1.8,-136,1.8,231.6
EP04-Cell0027,-303.1,-1.8,-256,1.8,231.6
EP04-Cell0028,-41.9,-1,5.2,1,234.3
EP04-Cell0029,-161.9,-1,-114.8,1,234.3
EP04-Cell0030,-281.9,-1,-234.8,1,234.3
EP04-Cell0031,-29.3,-1.1,17.8,1.1,228
EP04-Cell0032,-149.3,-1.1,-102.2,1.1,228
EP04-Cell0033,-269.3,-1.1,-222.2,1.1,228
EP04-Cell0034,-36.4,-0.4,10.7,0.4,243.2
EP04-Cell0035,-156.4,-0.4,-109.3,0.4,243.2
EP04-Cell0036,-276.4,-0.4,-229.3,0.4,243.2
EP04-Cell0037,-49.9,-0.4,-2.8,0.4,254.9
EP04-Cell0038,-169.9,-0.4,-122.8,0.4,254.9
EP04-Cell0039,-289.9,-0.4,-242.8,0.4,254.9
EP04-Cell0040,-62.5,-0.9,-15.4,0.9,247.3
EP04-Cell0041,-182.5,-0.9,-135.4,0.9,247.3
EP04-Cell0042,-302.5,-0.9,-255.4,0.9,247.3
EP04-Cell0043,-53.4,-1.8,-6.3,1.8,229.6
EP04-Cell0044,-173.4,-1.8,-126.3,1.8,229.6
EP04-Cell0045,-293.4,-1.8,-246.3,1.8,229.6
EP04-Cell0046,-34.6,-1.1,12.5,1.1,214.9
EP04-Cell0047,-154.6,-1.1,-107.5,1.1,214.9
EP04-Cell0048,-274.6,-1.1,-227.5,1.1,214.9
EP04-Cell0049,-33.3,-0.5,13.8,0.5,246.5
EP04-Cell0050,-153.3,-0.5,-106.2,0.5,246.5
EP04-Cell0051,-273.3,-0.5,-226.2,0.5,246.5
EP04-Cell0052,-43.3,-0.4,3.8,0.4,247.7
EP04-Cell0053,-163.3,-0.4,-116.2,0.4,247.7
EP04-Cell0054,-283.3,-0.4,-236.2,0.4,247.7
EP04-Cell0055,-55.5,-0.9,-8.4,0.9,246.9
EP04-Cell0056,-175.5,-0.9,-128.4,0.9,246.9
EP04-Cell0057,-295.5,-0.9,-248.4,0.9,246.9
EP05-Cell0001,-13,-0.3,0,0.3,253.5
EP05-Cell0002,-133,-0.3,-120,0.3,253.5
EP05-Cell0003,-253,-0.3,-240,0.3,253.5
EP05-Cell0004,-21.7,-0.4,-8.7,0.4,255.8
EP05-Cell0005,-141.7,-0.4,-128.7,0.4,255.8
EP05-Cell0006,-261.7,-0.4,-248.7,0.4,255.8
EP05-Cell0007,-5,0,8,0,250.5
