link,azimuth_bs_imt,elevation_bs_imt,azimuth_ep_fs,elevation_ep_fs,path_loss_db
EP16-Cell0026,-328.6,-0.2,-470,0.2,199.5
EP16-Cell0027,-448.6,-0.2,-590,0.2,199.5
EP16-Cell0028,136,0.5,-5.4,-0.5,240.2
EP16-Cell0029,16,0.5,-125.4,-0.5,240.2
EP16-Cell0030,-104,0.5,-245.4,-0.5,240.2
EP16-Cell0031,122.9,0.3,-18.5,-0.3,198.4
EP16-Cell0032,2.9,0.3,-138.5,-0.3,198.4
EP16-Cell0033,-117.1,0.3,-258.5,-0.3,198.4
EP16-Cell0034,123.9,1.3,-17.5,-1.3,220.5
EP16-Cell0035,3.9,1.3,-137.5,-1.3,220.5
EP16-Cell0036,-116.1,1.3,-257.5,-1.3,220.5
EP16-Cell0037,-208,1.3,-349.4,-1.3,227.8
EP16-Cell0038,-328,1.3,-469.4,-1.3,227.8
EP16-Cell0039,-448,1.3,-589.4,-1.3,227.8
EP16-Cell0040,-204,0.4,-345.4,-0.4,227
EP16-Cell0041,-324,0.4,-465.4,-0.4,227
EP16-Cell0042,-444,0.4,-585.4,-0.4,227
EP16-Cell0043,143.6,0,2.2,0,212.9
EP16-Cell0044,23.6,0,-117.8,0,212.9
EP16-Cell0045,-96.4,0,-237.8,0,212.9
EP16-Cell0046,130.1,0.4,-11.3,-0.4,214.7
EP16-Cell0047,10.1,0.4,-131.3,-0.4,214.7
EP16-Cell0048,-109.9,0.4,-251.3,-0.4,214.7
EP16-Cell0049,123.3,1,-18.1,-1,211.5
EP16-Cell0050,3.3,1,-138.1,-1,211.5
EP16-Cell0051,-116.7,1,-258.1,-1,211.5
EP16-Cell0052,137.1,1.4,-4.3,-1.4,228
EP16-Cell0053,17.1,1.4,-124.3,-1.4,228
EP16-Cell0054,-102.9,1.4,-244.3,-1.4,228
EP16-Cell0055,-202.1,0.2,-343.5,-0.2,196.2
EP16-Cell0056,-322.1,0.2,-463.5,-0.2,196.2
EP16-Cell0057,-442.1,0.2,-583.5,-0.2,196.2
EP17-Cell0001,-196.4,-0.1,0,0.1,230.6
EP17-Cell0002,-316.4,-0.1,-120,0.1,230.6
EP17-Cell0003,-436.4,-0.1,-240,0.1,230.6
EP17-Cell0004,-187.4,-0.2,9,0.2,215.4
EP17-Cell0005,-307.4,-0.2,-111,0.2,215.4
EP17-Cell0006,-427.4,-0.2,-231,0.2,215.4
EP17-Cell0007,-206.1,0.3,-9.7,-0.3,200.4
EP17-Cell0008,-326.1,0.3,-129.7,-0.3,200.4
EP17-Cell0009,-446.1,0.3,-249.7,-0.3,200.4
EP17-Cell0010,-194,-0.3,2.4,0.3,234.1
EP17-Cell0011,-314,-0.3,-117.6,0.3,234.1
EP17-Cell0012,-434,-0.3,-237.6,0.3,234.1
EP17-Cell0013,-202.2,-0.3,-5.8,0.3,198.9
EP17-Cell0014,-322.2,-0.3,-125.8,0.3,198.9
EP17-Cell0015,-442.2,-0.3,-245.8,0.3,198.9
EP17-Cell0016,-188.9,0.1,7.5,-0.1,203.1
EP17-Cell0017,-308.9,0.1,-112.5,-0.1,203.1
EP17-Cell0018,-428.9,0.1,-232.5,-0.1,203.1
EP17-Cell0019,-199.8,0,-3.4,0,218.3
EP17-Cell0020,-319.8,0,-123.4,0,218.3
EP17-Cell0021,-439.8,0,-243.4,0,218.3
EP17-Cell0022,-179.4,0,17,0,225.3
EP17-Cell0023,-299.4,0,-103,0,225.3
EP17-Cell0024,-419.4,0,-223,0,225.3
EP17-Cell0025,-192.1,-0.5,4.3,0.5,200.8
EP17-Cell0026,-312.1,-0.5,-115.7,0.5,200.8
EP17-Cell0027,-432.1,-0.5,-235.7,0.5,200.8
EP17-Cell0028,-206.8,0.2,-10.4,-0.2,237
EP17-Cell0029,-326.8,0.2,-130.4,-0.2,237
EP17-Cell0030,-446.8,0.2,-250.4,-0.2,237
EP17-Cell0031,144.1,-0.1,340.5,0.1,197.9
EP17-Cell0032,24.1,-0.1,220.5,0.1,197.9
EP17-Cell0033,-95.9,-0.1,100.5,0.1,197.9
EP17-Cell0034,-204.8,0.8,-8.4,-0.8,226.5
EP17-Cell0035,-324.8,0.8,-128.4,-0.8,226.5
EP17-Cell0036,-444.8,0.8,-248.4,-0.8,226.5
EP17-Cell0037,-179.4,0.6,17,-0.6,228.1
EP17-Cell0038,-299.4,0.6,-103,-0.6,228.1
EP17-Cell0039,-419.4,0.6,-223,-0.6,228.1
EP17-Cell0040,-186.3,0.1,10.1,-0.1,229.9
EP17-Cell0041,-306.3,0.1,-109.9,-0.1,229.9
EP17-Cell0042,-426.3,0.1,-229.9,-0.1,229.9
EP17-Cell0043,-199.3,-0.3,-2.9,0.3,233.7
EP17-Cell0044,-319.3,-0.3,-122.9,0.3,233.7
EP17-Cell0045,-439.3,-0.3,-242.9,0.3,233.7
EP17-Cell0046,149.2,0.1,345.6,-0.1,217.6
EP17-Cell0047,29.2,0.1,225.6,-0.1,217.6
EP17-Cell0048,-90.8,0.1,105.6,-0.1,217.6
EP17-Cell0049,148.6,0.5,345,-0.5,214.9
EP17-Cell0050,28.6,0.5,225,-0.5,214.9
EP17-Cell0051,-91.4,0.5,105,-0.5,214.9
EP17-Cell0052,-191.2,0.7,5.2,-0.7,229.8
EP17-Cell0053,-311.2,0.7,-114.8,-0.7,229.8
EP17-Cell0054,-431.2,0.7,-234.8,-0.7,229.8
EP17-Cell0055,-179.4,-0.2,17,0.2,197.6
EP17-Cell0056,-299.4,-0.2,-103,0.2,197.6
EP17-Cell0057,-419.4,-0.2,-223,0.2,197.6
EP18-Cell0001,-164.9,-0.5,0,0.5,222.6
EP18-Cell0002,-284.9,-0.5,-120,0.5,222.6
EP18-Cell0003,-404.9,-0.5,-240,0.5,222.6
EP18-Cell0004,-159.9,-0.5,5,0.5,225.6
EP18-Cell0005,-279.9,-0.5,-115,0.5,225.6
EP18-Cell0006,-399.9,-0.5,-235,0.5,225.6
EP18-Cell0007,-170.8,-0.2,-5.9,0.2,237.2
EP18-Cell0008,-290.8,-0.2,-125.9,0.2,237.2
EP18-Cell0009,-410.8,-0.2,-245.9,0.2,237.2
EP18-Cell0010,-166.5,-0.6,-1.6,0.6,217.1
EP18-Cell0011,-286.5,-0.6,-121.6,0.6,217.1
EP18-Cell0012,-406.5,-0.6,-241.6,0.6,217.1
EP18-Cell0013,-171.8,-0.6,-6.9,0.6,234.2
EP18-Cell0014,-291.8,-0.6,-126.9,0.6,234.2
EP18-Cell0015,-411.8,-0.6,-246.9,0.6,234.2
EP18-Cell0016,-157.4,-0.3,7.5,0.3,223.1
EP18-Cell0017,-277.4,-0.3,-112.5,0.3,223.1
EP18-Cell0018,-397.4,-0.3,-232.5,0.3,223.1
EP18-Cell0019,-162.7,-0.4,2.2,0.4,218.6
EP18-Cell0020,-282.7,-0.4,-117.8,0.4,218.6
EP18-Cell0021,-402.7,-0.4,-237.8,0.4,218.6
EP18-Cell0022,-155.8,-0.4,9.1,0.4,235.3
EP18-Cell0023,-275.8,-0.4,-110.9,0.4,235.3
EP18-Cell0024,-395.8,-0.4,-230.9,0.4,235.3
EP18-Cell0025,-167.9,-0.7,-3,0.7,236.6
EP18-Cell0026,-287.9,-0.7,-123,0.7,236.6
EP18-Cell0027,-407.9,-0.7,-243,0.7,236.6
EP18-Cell0028,-178.2,-0.2,-13.3,0.2,242.6
EP18-Cell0029,-298.2,-0.2,-133.3,0.2,242.6
EP18-Cell0030,-418.2,-0.2,-253.3,0.2,242.6
EP18-Cell0031,-177.8,-0.5,-12.9,0.5,228.5
EP18-Cell0032,-297.8,-0.5,-132.9,0.5,228.5
EP18-Cell0033,-417.8,-0.5,-252.9,0.5,228.5
EP18-Cell0034,-159.8,0,5.1,0,227.1
EP18-Cell0035,-279.8,0,-114.9,0,227.1
EP18-Cell0036,-399.8,0,-234.9,0,227.1
EP18-Cell0037,-149.6,-0.1,15.3,0.1,232.1
EP18-Cell0038,-269.6,-0.1,-104.7,0.1,232.1
EP18-Cell0039,-389.6,-0.1,-224.7,0.1,232.1
EP18-Cell0040,-162,-0.3,2.9,0.3,238.3
EP18-Cell0041,-282,-0.3,-117.1,0.3,238.3
EP18-Cell0042,-402,-0.3,-237.1,0.3,238.3
EP18-Cell0043,-172.7,-0.6,-7.8,0.6,235.3
EP18-Cell0044,-292.7,-0.6,-127.8,0.6,235.3
EP18-Cell0045,-412.7,-0.6,-247.8,0.6,235.3
EP18-Cell0046,-178,-0.4,-13.1,0.4,237.7
EP18-Cell0047,-298,-0.4,-133.1,0.4,237.7
EP18-Cell0048,-418,-0.4,-253.1,0.4,237.7
EP18-Cell0049,-169.3,-0.1,-4.4,0.1,236.7
EP18-Cell0050,-289.3,-0.1,-124.4,0.1,236.7
EP18-Cell0051,-409.3,-0.1,-244.4,0.1,236.7
EP18-Cell0052,-154,0,10.9,0,229.2
EP18-Cell0053,-274,0,-109.1,0,229.2
EP18-Cell0054,-394,0,-229.1,0,229.2
EP18-Cell0055,-153.1,-0.5,11.8,0.5,220.6
EP18-Cell0056,-273.1,-0.5,-108.2,0.5,220.6
EP18-Cell0057,-393.1,-0.5,-228.2,0.5,220.6
EP19-Cell0001,-147.3,-0.8,0,0.8,241.2
EP19-Cell0002,-267.3,-0.8,-120,0.8,241.2
EP19-Cell0003,-387.3,-0.8,-240,0.8,241.2
EP19-Cell0004,-144.3,-0.8,3,0.8,237.4
EP19-Cell0005,-264.3,-0.8,-117,0.8,237.4
EP19-Cell0006,-384.3,-0.8,-237,0.8,237.4
EP19-Cell0007,-151,-0.6,-3.7,0.6,241.8
EP19-Cell0008,-271,-0.6,-123.7,0.6,241.8
EP19-Cell0009,-391,-0.6,-243.7,0.6,241.8
EP19-Cell0010,-150.7,-1,-3.4,1,235.2
EP19-Cell0011,-270.7,-1,-123.4,1,235.2
EP19-Cell0012,-390.7,-1,-243.4,1,235.2
EP19-Cell0013,-154.3,-1,-7,1,232
EP19-Cell0014,-274.3,-1,-127,1,232
EP19-Cell0015,-394.3,-1,-247,1,232
EP19-Cell0016,-140.3,-0.7,7,0.7,240
EP19-Cell0017,-260.3,-0.7,-113,0.7,240
EP19-Cell0018,-380.3,-0.7,-233,0.7,240
EP19-Cell0019,-143.1,-0.8,4.2,0.8,236.2
EP19-Cell0020,-263.1,-0.8,-115.8,0.8,236.2
EP19-Cell0021,-383.1,-0.8,-235.8,0.8,236.2
EP19-Cell0022,-141.9,-0.6,5.4,0.6,244.2
EP19-Cell0023,-261.9,-0.6,-114.6,0.6,244.2
EP19-Cell0024,-381.9,-0.6,-234.6,0.6,244.2
EP19-Cell0025,-153.4,-1,-6.1,1,240.8
EP19-Cell0026,-273.4,-1,-126.1,1,240.8
EP19-Cell0027,-393.4,-1,-246.1,1,240.8
EP19-Cell0028,-161.1,-0.5,-13.8,0.5,247.8
EP19-Cell0029,-281.1,-0.5,-133.8,0.5,247.8
EP19-Cell0030,-401.1,-0.5,-253.8,0.5,247.8
EP19-Cell0031,-155.6,-1,-8.3,1,232.1
EP19-Cell0032,-275.6,-1,-128.3,1,232.1
EP19-Cell0033,-395.6,-1,-248.3,1,232.1
EP19-Cell0034,-138,-0.5,9.3,0.5,241.2
EP19-Cell0035,-258,-0.5,-110.7,0.5,241.2
EP19-Cell0036,-378,-0.5,-230.7,0.5,241.2
EP19-Cell0037,-133.6,-0.4,13.7,0.4,245
EP19-Cell0038,-253.6,-0.4,-106.3,0.4,245
EP19-Cell0039,-373.6,-0.4,-226.3,0.4,245
EP19-Cell0040,-147.6,-0.6,-0.3,0.6,252.8
EP19-Cell0041,-267.6,-0.6,-120.3,0.6,252.8
EP19-Cell0042,-387.6,-0.6,-240.3,0.6,252.8
EP19-Cell0043,-157,-0.9,-9.7,0.9,235.5
EP19-Cell0044,-277,-0.9,-129.7,0.9,235.5
EP19-Cell0045,-397,-0.9,-249.7,0.9,235.5
EP19-Cell0046,-158.7,-0.8,-11.4,0.8,240.6
EP19-Cell0047,-278.7,-0.8,-131.4,0.8,240.6
EP19-Cell0048,-398.7,-0.8,-251.4,0.8,240.6
EP19-Cell0049,-146.7,-0.5,0.6,0.5,245.2
EP19-Cell0050,-266.7,-0.5,-119.4,0.5,245.2
EP19-Cell0051,-386.7,-0.5,-239.4,0.5,245.2
EP19-Cell0052,-135.5,-0.4,11.8,0.4,243
EP19-Cell0053,-255.5,-0.4,-108.2,0.4,243
EP19-Cell0054,-375.5,-0.4,-228.2,0.4,243
EP19-Cell0055,-138.1,-0.8,9.2,0.8,239.9
EP19-Cell0056,-258.1,-0.8,-110.8,0.8,239.9
EP19-Cell0057,-378.1,-0.8,-230.8,0.8,239.9
EP20-Cell0001,-137.5,-0.3,0,0.3,198.6
EP20-Cell0002,-257.5,-0.3,-120,0.3,198.6
EP20-Cell0003,-377.5,-0.3,-240,0.3,198.6
EP20-Cell0004,-135,-0.3,2.5,0.3,199.6
EP20-Cell0005,-255,-0.3,-117.5,0.3,199.6
EP20-Cell0006,-375,-0.3,-237.5,0.3,199.6
EP20-Cell0007,-140.8,0,-3.3,0,229.8
EP20-Cell0008,-260.8,0,-123.3,0,229.8
EP20-Cell0009,-380.8,0,-243.3,0,229.8
EP20-Cell0010,-142.8,-0.5,-5.3,0.5,199.4
EP20-Cell0011,-262.8,-0.5,-125.3,0.5,199.4
EP20-Cell0012,-382.8,-0.5,-245.3,0.5,199.4
EP20-Cell0013,-146.5,-0.6,-9,0.6,198.4
EP20-Cell0014,-266.5,-0.6,-129,0.6,198.4
EP20-Cell0015,-386.5,-0.6,-249,0.6,198.4
EP20-Cell0016,-129,-0.1,8.5,0.1,233.8
EP20-Cell0017,-249,-0.1,-111.5,0.1,233.8
EP20-Cell0018,-369,-0.1,-231.5,0.1,233.8
EP20-Cell0019,-130.7,-0.2,6.8,0.2,231.7
EP20-Cell0020,-250.7,-0.2,-113.2,0.2,231.7
EP20-Cell0021,-370.7,-0.2,-233.2,0.2,231.7
EP20-Cell0022,-133.1,-0.2,4.4,0.2,235.8
EP20-Cell0023,-253.1,-0.2,-115.6,0.2,235.8
EP20-Cell0024,-373.1,-0.2,-235.6,0.2,235.8
EP20-Cell0025,-147.1,-0.7,-9.6,0.7,235.4
EP20-Cell0026,-267.1,-0.7,-129.6,0.7,235.4
EP20-Cell0027,-387.1,-0.7,-249.6,0.7,235.4
EP20-Cell0028,-155.7,0,-18.2,0,236.2
EP20-Cell0029,-275.7,0,-138.2,0,236.2
EP20-Cell0030,-395.7,0,-258.2,0,236.2
EP20-Cell0031,-145.4,-0.4,-7.9,0.4,195.9
EP20-Cell0032,-265.4,-0.4,-127.9,0.4,195.9
EP20-Cell0033,-385.4,-0.4,-247.9,0.4,195.9
EP20-Cell0034,-122.1,0.3,15.4,-0.3,231.4
EP20-Cell0035,-242.1,0.3,-104.6,-0.3,231.4
EP20-Cell0036,-362.1,0.3,-224.6,-0.3,231.4
EP20-Cell0037,-121.3,0.1,16.2,-0.1,199.3
EP20-Cell0038,-241.3,0.1,-103.8,-0.1,199.3
EP20-Cell0039,-361.3,0.1,-223.8,-0.1,199.3
EP20-Cell0040,-140,-0.1,-2.5,0.1,243.5
EP20-Cell0041,-260,-0.1,-122.5,0.1,243.5
EP20-Cell0042,-380,-0.1,-242.5,0.1,243.5
EP20-Cell0043,-150.9,-0.6,-13.4,0.6,234.4
EP20-Cell0044,-270.9,-0.6,-133.4,0.6,234.4
EP20-Cell0045,-390.9,-0.6,-253.4,0.6,234.4
EP20-Cell0046,-151.4,-0.2,-13.9,0.2,232
EP20-Cell0047,-271.4,-0.2,-133.9,0.2,232
EP20-Cell0048,-391.4,-0.2,-253.9,0.2,232
EP20-Cell0049,-133.1,0.2,4.4,-0.2,230.8
EP20-Cell0050,-253.1,0.2,-115.6,-0.2,230.8
EP20-Cell0051,-373.1,0.2,-235.6,-0.2,230.8
EP20-Cell0052,-121.6,0.3,15.9,-0.3,232.8
EP20-Cell0053,-241.6,0.3,-104.1,-0.3,232.8
EP20-Cell0054,-361.6,0.3,-224.1,-0.3,232.8
EP20-Cell0055,-127.7,-0.4,9.8,0.4,233.6
EP20-Cell0056,-247.7,-0.4,-110.2,0.4,233.6
EP20-Cell0057,-367.7,-0.4,-230.2,0.4,233.6
