fs_id,snapshot,inr_db,interf_dbm
EP03,29,-21.88443734977092,-117.3618324684705
EP03,30,-33.9691604031766,-129.44655552187618
EP03,31,-63.33057982859779,-158.80797494729737
EP03,32,-23.805704047353487,-119.28309916605306
EP03,33,-12.14682404221712,-107.6242191609167
EP03,34,-16.747545278654513,-112.22494039735409
EP03,35,-37.97614115594192,-133.4535362746415
EP03,36,-22.254533828059735,-117.73192894675931
EP03,37,-55.32337947941835,-150.80077459811793
EP03,38,-15.04640064804839,-110.52379576674797
EP03,39,-33.46851898890159,-128.94591410760117
EP03,40,-30.471128060405235,-125.94852317910481
EP03,41,-11.405956853835448,-106.88335197253502
EP03,42,-53.446606512427905,-148.92400163112748
EP03,43,-19.043709819092143,-114.52110493779172
EP03,44,-50.81554524413198,-146.29294036283156
EP03,45,-28.27687417447028,-123.75426929316986
EP03,46,-36.64419319798543,-132.121588316685
EP03,47,-38.55639021700978,-134.03378533570935
EP03,48,-58.31865476460587,-153.79604988330544
EP03,49,-54.695790145206416,-150.173185263906
EP03,50,-78.1285117688139,-173.60590688751347
EP03,51,-24.421207118187,-119.89860223688657
EP03,52,-67.58234133373216,-163.05973645243174
EP03,53,-26.943133473329127,-122.4205285920287
EP03,54,-30.69199273370515,-126.16938785240472
EP03,55,-33.9123036347863,-129.38969875348587
EP03,56,-40.726357047246836,-136.2037521659464
EP03,57,-29.60705808623335,-125.08445320493293
EP03,58,-68.9656899787945,-164.44308509749408
EP03,59,-47.071335108949654,-142.54873022764923
EP03,60,-48.80263720365414,-144.28003232235372
EP03,61,-25.101339417756478,-120.57873453645605
EP03,62,-35.77822434935484,-131.25561946805442
EP03,63,-47.54854202812285,-143.02593714682243
EP03,64,-56.463139333045774,-151.94053445174535
EP03,65,-28.060022027594513,-123.53741714629409
EP03,66,-51.30720995285259,-146.78460507155216
EP03,67,-15.170418535299206,-110.64781365399878
EP03,68,-49.768271568742875,-145.24566668744245
EP03,69,-34.31591933650188,-129.79331445520145
EP03,70,-28.66228291661413,-124.13967803531371
EP03,71,-35.52713291443601,-131.00452803313559
EP03,72,-26.250065677132255,-121.72746079583183
EP03,73,-35.44770547607439,-130.92510059477397
EP03,74,-37.862356507426796,-133.33975162612637
EP03,75,-26.44863739856838,-121.92603251726796
EP03,76,-22.080643883999898,-117.55803900269947
EP03,77,-21.940404685031183,-117.41779980373076
EP03,78,-46.40987537961885,-141.88727049831843
EP03,79,-33.681183696222206,-129.15857881492178
EP03,80,-9.590860945275324,-105.0682560639749
EP03,81,-37.221907034445024,-132.6993021531446
EP03,82,-31.830837094768455,-127.30823221346803
EP03,83,-47.909444155752624,-143.3868392744522
EP03,84,-26.993033688095835,-122.47042880679541
EP03,85,-35.986211943525205,-131.46360706222478
EP03,86,-26.234829539726576,-121.71222465842615
EP03,87,-22.557162588883216,-118.03455770758279
EP03,88,-36.08270687415478,-131.56010199285436
EP03,89,-17.09243430572056,-112.56982942442013
EP03,90,-43.85012752423046,-139.32752264293003
EP03,91,-35.079681792848504,-130.55707691154808
EP03,92,-72.95861932169214,-168.43601444039172
EP03,93,-40.125566898988524,-135.6029620176881
EP03,94,-35.070374959014885,-130.54777007771446
EP03,95,-53.086031192177245,-148.56342631087682
EP03,96,-44.37633423895042,-139.85372935765
EP03,97,-55.65943326623872,-151.1368283849383
EP03,98,-44.843532020503744,-140.32092713920332
EP03,99,-66.81719713065729,-162.29459224935687
EP03,100,-25.548458043866205,-121.02585316256578
EP04,1,-69.67973404155475,-165.15712916025433
EP04,2,-69.07948822663587,-164.55688334533545
EP04,3,-60.77147184240641,-156.248866961106
EP04,4,-47.516777990865876,-142.99417310956545
EP04,5,-55.209411310141434,-150.686806428841
EP04,6,-64.5489413351657,-160.02633645386527
EP04,7,-69.84206072542861,-165.31945584412819
EP04,8,-52.67793552096788,-148.15533063966745
EP04,9,-48.413887225049024,-143.8912823437486
EP04,10,-54.4728724487577,-149.95026756745727
EP04,11,-58.297636823270835,-153.7750319419704
EP04,12,-66.93293577692702,-162.4103308956266
