fs_id,snapshot,inr_db,interf_dbm
EP12,9,-58.81430445439213,-154.2916995730917
EP12,10,-59.33324671996007,-154.81064183865965
EP12,11,-61.05685600463087,-156.53425112333045
EP12,12,-61.158238920581965,-156.63563403928154
EP12,13,-69.05604023920006,-164.53343535789963
EP12,14,-66.53884553646509,-162.01624065516467
EP12,15,-56.251146191282345,-151.72854130998192
EP12,16,-55.78045155555975,-151.25784667425933
EP12,17,-60.85836315300401,-156.33575827170358
EP12,18,-63.40967242317703,-158.8870675418766
EP12,19,-62.10576695516485,-157.58316207386443
EP12,20,-60.887248520586155,-156.36464363928573
EP13,1,-63.98023822309665,-159.45763334179622
EP13,2,-75.79325627514694,-171.27065139384652
EP13,3,-60.88927359402703,-156.3666687127266
EP13,4,-75.67842249855812,-171.1558176172577
EP13,5,-53.47611587893854,-148.95351099763812
EP13,6,-62.57382434424025,-158.05121946293983
EP13,7,-71.08549106407798,-166.56288618277756
EP13,8,-72.49684966632009,-167.97424478501966
EP13,9,-60.19285841166237,-155.67025353036195
EP13,10,-60.702732632991996,-156.18012775169157
EP13,11,-56.01321739860833,-151.4906125173079
EP13,12,-49.18034902100621,-144.65774413970578
EP13,13,-54.80735863877962,-150.2847537574792
EP13,14,-62.240308188298826,-157.7177033069984
EP13,15,-52.922303780684615,-148.3996988993842
EP13,16,-49.96352041100653,-145.4409155297061
EP13,17,-61.96362229953951,-157.44101741823908
EP13,18,-63.73186924184438,-159.20926436054395
EP13,19,-56.28172003633114,-151.7591151550307
EP13,20,-48.262806445368454,-143.74020156406803
EP14,1,-30.308193143310447,-125.78558826201002
EP14,2,-49.266738123780726,-144.7441332424803
EP14,3,-24.85186310090468,-120.32925821960426
EP14,4,-42.787371841384925,-138.2647669600845
EP14,5,-30.961101138098854,-126.43849625679843
EP14,6,-31.67621241880083,-127.1536075375004
EP14,7,-29.518403118393564,-124.99579823709314
EP14,8,-38.11948374844863,-133.5968788671482
EP14,9,-22.02961584840824,-117.50701096710782
EP14,10,-34.49962289030725,-129.97701800900683
EP14,11,-38.70946717702171,-134.18686229572128
EP14,12,-20.032179143221896,-115.50957426192147
EP14,13,-33.737571638879785,-129.21496675757936
EP14,14,-28.585182834683252,-124.06257795338283
EP14,15,-9.699241624167357,-105.17663674286693
EP14,16,-20.285721399694665,-115.76311651839424
EP14,17,-20.991073496759512,-116.46846861545909
EP14,18,-44.57214003028426,-140.04953514898384
EP14,19,-38.8087427290277,-134.28613784772728
EP14,20,-42.958403194545724,-138.4357983132453
EP15,1,-22.910309315341237,-118.38770443404081
EP15,2,-37.45603855331504,-132.93343367201462
EP15,3,-14.40026478509806,-109.87765990379764
EP15,4,-34.161109844472946,-129.63850496317252
EP15,5,-25.20679894996624,-120.68419406866582
EP15,6,-26.309686831416812,-121.78708195011639
