elevation_axis,g_plot
23.15716272600835,-32.230592934625044
22.90681502086231,-35.42940986982681
22.65646731571627,-38.805589289127504
22.406119610570244,-41.08648564849655
22.155771905424203,-41.04243461762775
21.905424200278162,-40.00686427993504
21.655076495132136,-39.21328829578227
21.404728789986095,-38.91551261607412
21.154381084840054,-39.082789001641984
20.904033379694013,-39.63822969792236
20.653685674547987,-40.490097807260234
20.403337969401946,-41.519010760175895
20.152990264255905,-42.56922831286822
19.90264255910988,-43.47951725494437
19.652294853963838,-44.15561408312345
19.401947148817797,-44.594571131367026
19.15159944367177,-44.78188791424011
18.90125173852573,-44.561561678687234
18.65090403337969,-43.707597038735706
18.400556328233662,-42.22970917743307
18.15020862308762,-40.4371704922978
17.89986091794158,-38.655875354358805
17.649513212795554,-37.072940790808715
17.399165507649514,-35.76651236230876
17.148817802503473,-34.76365108242645
16.898470097357446,-34.07446064622201
16.648122392211405,-33.7082457537636
16.397774687065365,-33.68136718714165
16.147426981919338,-34.02149019183752
15.897079276773297,-34.76767932398294
15.646731571627257,-35.95354739331176
15.39638386648123,-37.51272511529871
15.14603616133519,-38.91999510027729
14.895688456189148,-38.84718885670824
14.645340751043122,-36.95799731090405
14.394993045897081,-34.58493899667866
14.14464534075104,-32.50463192386074
13.894297635605014,-30.86528141055657
13.643949930458973,-29.64855161705411
13.393602225312932,-28.81805143059534
13.143254520166906,-28.350230312207607
12.892906815020865,-28.23941825512452
12.642559109874824,-28.498718831375037
12.392211404728798,-29.16036997876693
12.141863699582757,-30.270314862560127
11.891515994436716,-31.845415530397638
11.641168289290675,-33.65276556517293
11.390820584144649,-34.59045421386076
11.140472878998608,-33.34818518703335
10.890125173852567,-30.936230935687497
10.63977746870654,-28.64357919451689
10.3894297635605,-26.802514778933034
10.13908205841446,-25.413642871849564
9.888734353268433,-24.42919808500878
9.638386648122392,-23.81127045456089
9.388038942976351,-23.53944552070231
9.137691237830325,-23.609398724151742
8.887343532684284,-24.029233920980694
8.636995827538243,-24.809758370093302
8.386648122392216,-25.93056596284973
8.136300417246176,-27.227374799709573
7.885952712100135,-28.145031754451765
7.635605006954108,-27.833181114614064
7.385257301808068,-26.303543035984863
7.134909596662027,-24.409333178601365
6.884561891516,-22.696304974861828
6.6342141863699595,-21.323801574251355
6.383866481223919,-20.310228063392362
6.133518776077892,-19.643081916906173
5.883171070931851,-19.311209492924643
5.632823365785811,-19.312288736178658
5.382475660639784,-19.651512167354056
5.132127955493743,-20.330512373558552
4.881780250347703,-21.308839282936734
4.631432545201676,-22.3906404793931
4.381084840055635,-23.029337768261925
4.1307371349095945,-22.52825305316948
3.880389429763568,-20.984152325526495
3.630041724617527,-19.12792244417952
3.3796940194714864,-17.431266892480256
3.12934631432546,-16.0473607704033
2.878998609179419,-15.004031832437807
2.6286509040333783,-14.29890004395588
2.3783031988873375,-13.931045629242307
2.127955493741311,-13.911001158094388
1.8776077885952702,-14.263309772228354
1.6272600834492295,-15.01998402450558
1.376912378303203,-16.176807073450526
1.1265646731571621,-17.49872307628706
0.8762169680111214,-18.038021201371926
0.6258692628650948,-16.647562047999784
0.37552155771905404,-14.040204806434334
0.12517385257301328,-11.390792160782038
-0.12517385257301328,-9.07878445942271
-0.37552155771905404,-7.130476752535217
-0.6258692628650948,-5.500325279294245
-0.8762169680111214,-4.140606857063798
-1.1265646731571621,-3.0134185859359928
-1.376912378303203,-2.0905396866949157
-1.6272600834492295,-1.3514028784806609
-1.8776077885952702,-0.781267734182709
-2.127955493741311,-0.36989455341279687
-2.3783031988873375,-0.11065781434634481
-2.6286509040333783,0.0
-2.878998609179419,-0.03715355781980101
-3.1293463143254456,-0.22409410318632084
-3.3796940194714864,-0.5657229089451246
-3.630041724617527,-1.0703148040051325
-3.8803894297635537,-1.7503172000187028
-4.1307371349095945,-2.623660067285485
-4.381084840055635,-3.715853487369797
-4.631432545201662,-5.063321029144127
-4.881780250347703,-6.718557737722793
-5.132127955493743,-8.757038878205748
-5.38247566063977,-11.279079050499714
-5.632823365785811,-14.351688510274517
-5.883171070931851,-17.5555704042156
-6.133518776077892,-18.77949921854093
-6.383866481223919,-17.18198857907948
-6.6342141863699595,-15.172277688166414
-6.884561891516,-13.701886161229963
-7.134909596662027,-12.803754569896514
-7.385257301808068,-12.396276711283228
-7.635605006954108,-12.421002504881352
-7.885952712100135,-12.853994783888878
-8.136300417246176,-13.704729213764416
-8.386648122392216,-15.01967470121713
-8.636995827538243,-16.893533311128877
-8.887343532684284,-19.478149566639715
-9.137691237830325,-22.848954711883565
-9.388038942976351,-25.670081931375712
-9.638386648122392,-24.376031749354325
-9.888734353268433,-21.41281383191506
-10.13908205841446,-19.119424613160376
-10.3894297635605,-17.59089065127179
-10.63977746870654,-16.668143834171133
-10.890125173852567,-16.24111855030038
-11.140472878998608,-16.25296379177498
-11.390820584144649,-16.68761536458083
-11.641168289290675,-17.565632269108058
-11.891515994436716,-18.94947637637975
-12.141863699582757,-20.956903463392553
-12.392211404728783,-23.751608291638334
-12.642559109874824,-27.163885020693385
-12.892906815020865,-28.5039570851451
-13.143254520166892,-25.863243289782325
-13.393602225312932,-22.96611075643538
-13.643949930458973,-20.885241219993183
-13.894297635605,-19.51055678544753
-14.14464534075104,-18.693423483702325
-14.394993045897081,-18.344589998057945
-14.645340751043108,-18.422517178171006
-14.895688456189148,-18.923075238496175
-15.14603616133519,-19.878298580604056
-15.39638386648123,-21.363928237541774
